,author_id,username
0,837299595495485441,r_andy_O
1,1386787083394617347,kumbes2
2,859133751489679360,LuisEduardoTir4
3,1162348388291096576,Torresta9
4,1241341094820020229,HalaHancok
5,1223884837075005440,KingsleyMoore5
6,476912157,RossyArdy
7,1319213911686733825,YazQam7
8,3192788574,KevinMalanco
9,1005760924467294208,FrankDzata
10,420117669,KoneMoheavy
11,1158607512096116737,deezyie
12,473985504,Lammoye
13,1230181283764064256,landsurveyorDan
14,1488883742622064643,YoungerIceMan29
15,1276598516434034690,BlogPerezy
16,1254553016163844096,gimmanuel20
17,813046594736005120,xalxax_
18,709405605006430209,greenhyhebe
19,73410662,KwadwoOfosuSiaw
20,1711776241,CikAann
21,1161220218179522560,SsemamboShafick
22,1367496991903727616,LlorisFC
23,1486719719537217538,culerhuner
24,1457206044355178496,pmafatle96
25,1482283277146902529,Piggy_18_
26,949295176857497608,MoseBevan9
27,1437880423611252744,AbudulaiIssaha3
28,1292419793056706560,betot_bas
29,1333894440151298048,KobbyDC3
30,2728974309,DAVIDO_TWO
31,1303524057413976064,__bertram_
32,1312365796811706368,cfcash_
33,997971961400758272,VictorOcean2
34,1331339506461667329,ttseth1
35,161343797,slim_azz
36,1002198003141132290,arale_ggmu
37,1214054830940946432,Ronakkothari07
38,405785030,QalaayeYare
39,1472721199775948801,psg_boise
40,1370856756801327109,MeatyNat
41,1330971915209609218,mohamed27544986
42,1484138188818034693,Ann_News_Media
43,222113710,kwades7
44,3844696463,TshepoR97
45,620966886,Faizal_Yoosoof
46,1210704077446942721,Wld_PackM
47,1640837904,TrafalgarZul
48,3404387464,Bra_Abele
49,3242421239,EdyKhussa
50,946668186082066432,nazrilzakwann
51,450318727,OhRuud
52,1366112003996217350,AssiynmentJnr
53,368582638,Fred_The_Rick
54,803929506700558336,ForeverDau
55,818745406288957440,ssergetrevor
56,1269574196465729538,fiago7
57,1398258212990636037,_V_I_N_O_T_H_DX
58,1101394690883182592,Bharbs3
59,1350755391274102785,_quame_sterr
60,1364254550979473408,RatioChampion
61,285258054,DOh_Bams
62,705817829539319808,MarioRobero777
63,1303373736540864513,ReeceMo50971831
64,2756038897,_jeeqis
65,1285273962226778112,saaamirrrr
66,1156865086348320770,COYG_Sibusiso
67,1486311600923492358,demetrius3244
68,3320828067,_Alameenmohd
69,782857878537461760,ayinlahakorede
70,1154699730552836096,ben31136740
71,1195519535069237249,kunta2tobi
72,3387639832,Xenuphrasis
73,2752428928,azariah_chris
74,1350753923653656577,olatunde5775
75,557179502,mattballll
76,798835520054792193,Shimabryan1
77,1484942289059430406,SPORTSPROFESSO5
78,934219325484957698,Chemicalboyy
79,223602386,JonasDrake92
80,1343587299423105024,Orhlar_
81,1134924407305060353,emm_lic
82,1474192459,sufiaimin_
83,3239027070,hzqshrf
84,497086147,route1soccer
85,87912860,kielgint
86,2494525650,thooper50
87,92081306,Ekremkonur
88,875168107291136000,danielriccrdz
89,1326575487506919424,Larsonbro1
90,1250488832946028551,Tbamz_
91,4075486521,Timoh_Mwathi
92,1154482853595557890,AshaSin24116510
93,1073188742360391680,Efua_1122
94,783446266067947520,dan_sboy
95,1180205282284249090,Armstro27412364
96,701523204,seankore
97,1496438205238890500,JAMESFF14527589
98,478019959,lennard57
99,968056636068843521,DahabaPa
100,764342012497788928,Madoka_Ke
101,4153292181,KeleleC
102,1493615407407636480,Glorfindel____
103,1957772599,nanayaw_frimpg
104,3264040390,doyin_deji
105,706422123301101568,thepropagator96
106,622743992,KoangTotheBiel
107,3326119823,Alejo_G11
108,1414750171871813632,javibxrcelona
109,395139670,BPrinceOzil_Gh
110,1320254938228862976,_yasoman
111,1088948970297135105,FavourAlex20
112,1582628738,mainneli_
113,1434563374629654530,Traimitchell19
114,1101677911,KothMoses
115,2780715351,dmr0704
116,1168670031691079680,nwoke_ephraim
117,1463139460242104322,Torquay_
118,821673428998619136,jonn_mutua
119,1357495850428170242,Mr_Panford
120,1119027858310074369,Katagum_belloo
121,1377582245553258504,rizalapriian_
122,1050353479166902272,pinebadna1
123,900671051763503106,MushwanaMartha
124,190004665,niidarku_ankrah
125,3815318177,CastellKim
126,776911578411233280,captain300k
127,1477222470730010631,ompussy_
128,35721910,Don__Gatto
129,1219403365001703425,diogosbcarvalho
130,1142755345,Trigaar
